attrib-name,AARD,ADAMTSL4,ARHGEF10,BCAS1,CCND1,CEP57,CNDP1,CSMD1,CYP24A1,DNAH9,DOK5,EIF3H,ENSA,FGF19,GABRG3,GOLPH3L,HORMAD1,LATS1,MAP2K4,MCL1,ORAOV1,PFDN4,POU5F1B,PSMG4,RAD21,RCBTB2
TCGA-BH-A0AZ,0,1,0,0,0,-1,-1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,-1
TCGA-BH-A1EX,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1
TCGA-B6-A0RN,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,-1,0,0
TCGA-E2-A1BC,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0
TCGA-OL-A5DA,1,1,1,0,1,-1,0,1,0,-1,0,1,1,1,0,1,1,-1,-1,1,1,0,1,-1,1,-1
TCGA-AR-A2LO,1,2,-1,2,-1,-1,0,-1,2,0,2,1,2,-1,0,2,2,-1,0,2,-1,2,1,0,1,0
TCGA-AR-A24P,0,1,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,1,-1,-1,1,0,0,0,-1,0,0
TCGA-E2-A1IN,1,1,-2,2,0,0,-2,-2,2,-2,2,1,1,0,0,1,1,0,-2,1,0,2,1,1,1,-1
TCGA-E2-A1LH,2,1,0,1,1,0,-1,0,1,-1,1,2,1,1,-1,1,1,1,-1,1,1,1,2,0,2,0
TCGA-BH-A2L8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
TCGA-D8-A1JN,0,1,0,0,0,0,-1,0,0,-1,0,0,1,0,0,1,1,0,-1,1,0,0,0,0,0,0
TCGA-E9-A5FK,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0
TCGA-E9-A247,1,1,1,1,2,-1,0,1,1,-1,1,1,1,2,-1,1,1,0,-1,1,2,1,1,1,1,-1
TCGA-EW-A1PB,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,2,0,1,0
TCGA-AC-A3EH,1,2,1,0,0,0,-1,1,0,-1,0,1,2,0,0,2,2,0,-1,2,0,0,1,0,1,0
TCGA-D8-A1XK,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,-2,1,1,0,-1,1,1,1,1,0,1,-1
TCGA-OL-A5RY,0,0,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
TCGA-A2-A1FW,2,2,-1,1,1,-1,-1,-1,1,-1,1,2,2,-1,1,2,2,-1,-1,2,1,1,2,1,2,-1
TCGA-AR-A24Q,2,0,-1,1,0,-1,2,-2,1,1,1,2,0,0,1,0,0,1,1,0,0,1,2,1,2,-1
TCGA-C8-A275,1,1,0,0,0,0,-1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1
TCGA-C8-A1HK,1,1,-2,0,2,-1,-1,-2,0,-1,0,1,1,2,-1,1,1,0,-1,1,2,0,1,-1,1,-2
TCGA-LL-A5YM,1,2,-1,1,-1,-1,-1,-1,1,-1,1,1,2,-1,1,2,2,-1,-1,2,-1,1,1,1,1,-1
TCGA-BH-A5IZ,1,1,0,0,-1,-1,0,0,0,-1,0,1,1,-1,-1,1,1,1,-1,1,-1,0,1,-1,1,-1
TCGA-D8-A1Y2,2,0,-1,0,2,-1,1,-1,0,-1,0,2,0,2,0,0,0,0,-1,0,2,0,2,0,2,-1
TCGA-D8-A1Y3,1,1,-1,0,1,1,-1,-1,0,-1,0,1,1,1,0,1,1,-1,-1,1,1,0,1,1,1,-1
TCGA-AR-A24V,2,0,-1,1,2,-1,-1,-1,1,-1,1,2,0,2,-1,0,0,-1,-1,0,2,1,2,-1,2,-1
TCGA-BH-A0HX,2,1,-1,1,2,-1,-1,-1,1,0,1,2,1,2,-1,1,1,-1,0,1,2,1,2,-1,2,-1
TCGA-A7-A0D9,1,0,-1,1,0,0,0,-1,1,-1,1,1,0,0,-1,0,0,0,-1,0,0,1,1,0,1,0
TCGA-AQ-A0Y5,1,1,-1,2,0,0,-1,-1,2,-1,2,1,1,0,2,1,1,1,-1,1,0,2,1,1,1,0
TCGA-BH-A0E0,1,2,0,1,0,2,1,0,1,-1,1,1,2,0,-1,2,2,0,-1,2,0,1,1,0,1,-1
TCGA-E9-A228,0,0,-1,0,2,0,0,-1,0,-1,0,0,0,2,0,0,0,0,-1,0,2,0,0,0,0,0
