Hybridization REF,CAPS,DHRS4,DNAH9,GRHL2,NOXO1,PCDHB6,PCDHGB1,PXMP4,SLC12A9
TCGA-BH-A0AZ,0.567082443,0.288830435,0.39247796,0.46818983,0.323376042,0.421007601,0.416102516,0.138664189,0.234415681
TCGA-BH-A1EX,0.497386834,0.31832683,0.326661374,0.396114226,0.265024394,0.345310587,0.511110263,0.110095191,0.209543176
TCGA-B6-A0RN,0.479283336,0.316484607,0.372370316,0.406163226,0.382341737,0.366073063,0.539463431,0.255656313,0.214025081
TCGA-E2-A1BC,0.729231621,0.33003166,0.409526504,0.5721793,0.290156467,0.410766603,0.356650258,0.171995253,0.30351498
TCGA-OL-A5DA,0.513733446,0.315662002,0.402131907,0.398368215,0.472950035,0.530119882,0.561829459,0.17229693,0.24447157
TCGA-AR-A2LO,0.549605823,0.315297469,0.463519426,0.440533088,0.351787328,0.470788056,0.504214642,0.163052318,0.2483194
TCGA-AR-A24P,0.521401434,0.358912593,0.385923072,0.438623347,0.333797107,0.502540232,0.532255066,0.191319145,0.239582881
TCGA-E2-A1IN,0.473577941,0.313401653,0.420523628,0.362752481,0.247685622,0.502305299,0.49969124,0.169012687,0.214461757
TCGA-E2-A1LH,0.595786222,0.335435419,0.440776476,0.416325886,0.258016748,0.394402407,0.485342989,0.169494159,0.283186332
TCGA-BH-A2L8,0.627824525,0.336899326,0.415434346,0.461743619,0.40164772,0.527011304,0.47380682,0.200395891,0.289380476
TCGA-D8-A1JN,0.496520628,0.280094949,0.321978622,0.351760812,0.515021142,0.720664385,0.692704517,0.230525994,0.182420283
TCGA-E9-A5FK,0.692993114,0.340169834,0.445855088,0.463057408,0.419873158,0.47230932,0.498124177,0.281939946,0.295470042
TCGA-E9-A247,0.463681111,0.349608847,0.581637002,0.389320015,0.476426044,0.530274494,0.685674643,0.185290823,0.199518212
TCGA-EW-A1PB,0.75861749,0.341676667,0.307251313,0.379929631,0.360790155,0.648787495,0.527445082,0.142695689,0.221829877
TCGA-AC-A3EH,0.469204934,0.323354001,0.517617368,0.375255422,0.652293973,0.685079344,0.513062053,0.182183218,0.196394492
TCGA-D8-A1XK,0.503390792,0.336311224,0.574708753,0.353209736,0.288292364,0.502268095,0.581697397,0.163460156,0.151942951
TCGA-OL-A5RY,0.702963888,0.42366307,0.438756202,0.470752037,0.462575394,0.538077293,0.452506115,0.206167332,0.299108872
TCGA-A2-A1FW,0.682168353,0.329285494,0.259344025,0.369289572,0.281274384,0.521293829,0.716410393,0.77646041,0.432695729
TCGA-AR-A24Q,0.486874687,0.326541639,0.364552095,0.381842211,0.279016942,0.74674667,0.609507635,0.134214603,0.23216485
TCGA-C8-A275,0.665534324,0.355803836,0.408828225,0.405447709,0.547754508,0.720825164,0.618356797,0.168852247,0.249790269
TCGA-C8-A1HK,0.435613681,0.31140581,0.228525251,0.363842409,0.507708514,0.527311102,0.520906102,0.574686067,0.211541008
TCGA-LL-A5YM,0.649188449,0.311973569,0.411634809,0.418221438,0.550707268,0.706712769,0.656662926,0.223218942,0.319722029
TCGA-BH-A5IZ,0.509866492,0.344068007,0.333286224,0.390065534,0.231523227,0.694674469,0.617816712,0.147573227,0.214700403
