Hybridization REF,ACN9|57001,APOBEC3B|9582,C3orf14|57415,EFHD1|80303,FAM110B|90362,GPRC5A|9052,LCP1|3936,LOXL1|4016,NAPRT1|93100,PABPC1L|80336,PGM1|5236,SPARC|6678,SPOCK1|6695,THBS1|7057,TIMP3|7078
TCGA-BH-A0AZ,155.1475,8.2298,376.7431,8152.0994,403.8711,632.4773,2254.0578,319.744,199.3447,520.003,1230.8161,24877.2384,488.303,13936.1427,18072.0872
TCGA-BH-A1EX,192.1738,41.1781,708.021,4816.8565,186.2716,8369.0019,5433.7485,1643.3926,301.9536,201.6172,877.0584,64721.0057,2359.4405,16330.9922,25496.0751
TCGA-B6-A0RN,96.6406,30.8427,812.1923,7655.9923,743.5158,3275.0885,698.2798,2706.7554,271.8274,87.1822,641.1179,155527.2259,824.9407,13657.9909,21200.0707
TCGA-E2-A1BC,220.4387,4.2804,38.5233,1047.9757,241.8406,79.9001,784.7334,221.8655,1438.9156,15.6947,8573.5688,38050.2943,1836.2761,3594.0788,53406.0995
TCGA-OL-A5DA,103.4075,83.4735,781.5777,14307.6061,2354.7001,1429.847,1500.0311,1254.5942,911.9791,759.9826,693.1207,36169.771,713.8853,4436.1386,4362.2168
TCGA-AR-A2LO,68.3102,107.4319,56.4972,4405.7524,469.4402,1996.9183,5785.3107,1618.8957,341.5511,1213.662,696.9697,54679.5069,774.0113,17508.9882,16158.7057
TCGA-AR-A24P,163.7495,92.1568,651.2368,2555.4752,444.9588,3747.1431,1734.1241,1198.6113,484.3049,102.4157,902.0686,94923.7668,2684.5074,21296.9767,22221.6115
TCGA-E2-A1IN,127.248,78.9428,1060.7629,8901.3624,2008.1744,1989.9183,1579.2916,2947.6839,568.1199,116.8937,908.1744,171930.7902,2908.7193,16952.3161,82729.9728
TCGA-E2-A1LH,135.1222,43.7183,675.1318,8282.2233,571.1548,478.6775,2881.6483,134.1639,621.9454,251.0781,1949.2094,9898.4188,64.6862,8644.4657,8929.564
TCGA-BH-A2L8,233.6732,138.1938,190.2408,8078.4151,594.4128,1135.7018,7309.555,1248.7695,583.2855,252.6972,1006.4816,63890.4069,250.5436,10493.3968,10148.0917
TCGA-D8-A1JN,170.4767,26.613,943.5808,2350.4022,679.316,2290.2949,5826.2614,191.7215,396.9154,173.0675,3078.9439,7381.7966,124.8781,5926.2675,2064.3744
TCGA-E9-A5FK,50.4467,115.0815,1151.34,6819.7583,652.1282,4185.4966,6487.6511,2314.7662,929.0594,241.7236,883.3421,46145.0342,396.742,3306.3584,10429.8476
TCGA-E9-A247,268.7785,124.605,1251.2302,13389.7174,1020.4375,3917.1448,1993.6805,681.7305,225.6128,804.6089,1244.8993,34186.3838,482.0172,9792.5743,7233.1352
TCGA-EW-A1PB,249.7854,1001.0779,506.3479,20.3314,11.2952,818.4183,5338.7593,131.3277,1038.5134,98.4296,10071.773,7193.1093,19.6859,715.4706,838.7497
TCGA-AC-A3EH,128.1963,272.6123,600.8984,6283.6904,669.6614,4557.7056,813.7526,1221.1472,344.5059,143.4001,1093.642,61207.671,912.5777,8735.66,4831.0297
TCGA-D8-A1XK,240.8526,197.6784,174.0547,2081.8682,132.2381,53.2211,2933.1342,102.9122,301.9483,319.0551,4183.83,6556.2419,108.0714,3623.3793,3863.1457
TCGA-OL-A5RY,656.473,433.2314,326.7074,3356.2691,160.0408,3168.1957,7132.0082,1791.5392,353.211,103.9755,1801.2232,66071.3558,636.5953,5401.631,8969.9286
TCGA-A2-A1FW,60.5296,242.9523,136.4884,900.23,996.9587,4532.8982,4574.1414,677.6945,445.961,149.5438,654.8476,24817.4468,982.4197,10097.4705,14814.628
TCGA-AR-A24Q,360.1164,176.1776,225.6186,4509.4614,261.1354,1620.3785,3532.7511,1172.0524,53.5662,63.4643,2424.4541,50027.0742,2047.7438,45970.3057,30237.8457
TCGA-C8-A275,194.7632,542.5125,1461.3122,12024.1247,533.9806,9402.1771,5199.4704,455.4281,1475.7282,118.2701,538.0994,24515.1515,239.188,5031.7741,6496.3224
TCGA-C8-A1HK,201.5504,348.9072,1277.3193,676.6692,575.6439,2050.5126,965.2413,475.1188,884.7212,42.5106,514.1285,20760.19,658.1645,2595.1488,3115.2788
TCGA-LL-A5YM,14.2657,556.2654,789.1988,2460.833,232.3271,1024.5829,716.8514,1634.951,2834.7981,131.9577,1394.472,31080.8814,405.5534,2560.6929,11655.5853
TCGA-BH-A5IZ,234.8048,491.6496,233.1395,42.4647,519.5681,5115.3312,1184.4321,1337.2218,69.5255,77.852,2102.419,20461.3249,206.0787,3801.0071,3141.5552
TCGA-D8-A1Y2,196.4942,103.5399,1310.9537,12865.4081,546.8096,4101.8991,9378.463,2580.8885,477.0112,180.9467,1449.5582,78729.6683,1846.5162,19237.9432,47756.3604
TCGA-D8-A1Y3,121.8146,25.2718,694.2801,8179.5661,1372.7811,1346.9034,2287.6529,307.0611,238.5799,201.3412,2072.1105,29616.0947,94.9901,1871.716,2950.3748
TCGA-AR-A24V,45.9875,157.1494,279.2752,14483.9348,799.1473,7862.0375,1886.4017,1649.7609,354.1952,217.7554,1427.1357,158534.7952,3290.6959,40486.6758,40861.8852
TCGA-BH-A0HX,159.756,311.1238,621.4851,6506.9107,973.0245,16270.7082,2059.6702,1311.6004,442.2839,134.9728,1042.7986,55882.1847,1689.0668,15822.7052,36496.4255
TCGA-A7-A0D9,125.2546,23.4216,62.6273,586.0489,224.5418,365.0713,4255.0916,649.1853,298.8798,21.8941,6581.4664,170124.2363,1144.0937,11960.7943,62676.6802
TCGA-AQ-A0Y5,110.8464,42.0086,948.9012,5136.7046,368.5465,4485.3941,2461.9186,921.7192,510.105,431.7359,2238.1078,100728.6206,2417.7919,19434.1188,18458.0355
TCGA-BH-A0E0,189.357,149.4457,565.8537,16349.8891,273.1707,864.745,2074.0576,306.4302,693.5698,199.5565,2288.6918,22784.4789,203.9911,4389.357,12188.4701
TCGA-E9-A228,122.4519,669.5844,307.7145,8605.3447,932.3633,11118.0581,5840.8125,276.3092,288.1222,341.7129,938.9901,29123.6764,139.4511,12191.8894,26268.3858
TCGA-AO-A0JI,209.3904,165.9674,675.5017,5500.568,959.1064,4971.6017,1587.6562,608.7921,931.0867,246.4975,962.5142,12095.4184,377.5085,20791.7456,8818.2507
TCGA-B6-A409,53.7361,1591.0493,324.3243,2478.2194,41.3355,501.7488,4845.469,406.0413,6384.1017,148.1717,3601.2719,18829.2528,679.8092,3599.682,4766.6137
TCGA-EW-A1PA,38.2356,215.133,899.2284,8242.7732,816.3077,915.3518,1906.2536,949.9021,632.5003,1124.0355,667.9719,28099.0441,693.7694,14005.2977,15193.827
TCGA-C8-A1HO,15.731,416.4096,1679.2104,2726.7119,236.8908,3177.3597,825.108,604.8735,373.5349,91.3017,714.6823,24410.2406,665.9469,17673.6582,8508.3282
TCGA-A2-A3XX,274.5266,1266.7295,205.2952,4626.5102,541.5132,282.7521,1632.765,658.7268,3573.6441,489.4182,1409.3051,40064.7759,385.5711,9581.0128,7287.8074
TCGA-AR-A1AL,147.4743,59.5228,320.8044,4523.8209,286.9683,2952.0389,3648.8708,866.0123,322.7197,264.6237,758.7583,62964.4881,1475.0618,22788.9235,12034.4745
TCGA-BH-A1FC,69.2308,46.1538,478.6982,6342.0118,414.2012,1107.6923,3843.787,558.5799,692.8994,209.4675,2166.8639,40695.858,342.6036,9576.3314,28837.2781
TCGA-GM-A3NW,131.1899,243.8027,211.7517,12389.1353,723.9468,3932.003,1533.629,1046.1936,712.8603,394.6785,1298.9653,25915.3732,363.6364,4957.5018,14988.9135
TCGA-AQ-A54O,133.6661,214.0876,1156.406,7506.9329,894.6201,3380.477,2130.893,1986.1342,1966.7221,1456.4615,339.9889,24136.9939,322.2407,2158.6245,5199.1126
